AoA,Mach,Velocity,CXu,CYv,CZw,Clp,Cmq,Cnr
0,0.961224489795918,326.816326530612,-0.0181630204081632,0,-0.000493632653061224,-0.3,-2.13061224489796,-2.45020408163265
0,0.985714285714286,335.142857142857,-0.014957781512605,0,-0.000406521008403361,-0.3,-2.26285714285714,-2.60228571428571
0,1.01020408163265,343.469387755102,-0.0133186170468187,0,-0.000289123649459784,-0.24,-1.44,-1.656
0,1.03469387755102,351.795918367347,-0.0162783097238896,0,-0.000353373349339736,-0.24,-1.44,-1.656
0,1.05918367346939,360.122448979592,-0.0294779982721411,0,-0.000594546960980922,-0.24,-1.44,-1.656
0,1.08367346938775,368.448979591837,-0.0348544177671068,0,-0.000700552220888354,-0.24,-1.44,-1.656
0,1.10816326530612,376.775510204082,-0.0332128448528583,0,-0.000258025989401288,-0.24,-1.44,-1.656
0,1.13265306122449,385.102040816327,-0.0360543817527012,0,-0.000197549819927972,-0.24,-1.44,-1.656
0,1.15714285714286,393.428571428571,-0.0387426470588236,0,-0.000212279411764706,-0.24,-1.44,-1.656
0,1.18163265306122,401.755102040816,-0.0387426470588236,0,-0.000212279411764706,-0.24,-1.44,-1.656
0,1.20612244897959,410.081632653061,-0.000814167512690319,0,-0.000274250373245745,-0.24,-1.44,-1.656
0,1.23061224489796,418.408163265306,-0.00398125490196078,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.25510204081633,426.734693877551,-0.00398125490196079,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.27959183673469,435.061224489796,-0.00398125490196079,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.30408163265306,443.387755102041,-0.00398125490196078,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.32857142857143,451.714285714286,-0.00398125490196078,0,-0.000336088235294117,-0.24,-1.44,-1.656
0,1.3530612244898,460.040816326531,-0.00398125490196078,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.37755102040816,468.367346938776,-0.00398125490196078,0,-0.000336088235294117,-0.24,-1.44,-1.656
0,1.40204081632653,476.69387755102,-0.00398125490196078,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.4265306122449,485.020408163265,-0.00398125490196078,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.45102040816327,493.34693877551,-0.00398125490196079,0,-0.000336088235294118,-0.24,-1.44,-1.656
0,1.47551020408163,501.673469387755,-0.00398125490196078,0,-0.000336088235294117,-0.24,-1.44,-1.656
0,1.5,510,-0.00398125490196079,0,-0.000336088235294118,-0.24,-1.44,-1.656
8,0.3,102,-0.000389558823529375,0,-0.000825338235293961,-0.294189254390748,-1.77094627195374,-2.01935348536577
