Time(s),Thrust(N),Propellant Mass(G1;g),Propellant Mass(G2;g),Propellant Mass(G3;g),Propellant Mass(G4;g),Propellant Mass(G5;g),Propellant Mass(G6;g),Propellant Mass(G7;g)
3.49,198.66947,10.34414,24.51891,2.96359,1.20896,0,0,0
3.5,199.31426,10.22867,23.83591,2.86482,1.15898,0,0,0
3.51,199.96026,10.11309,23.15075,2.76575,1.10885,0,0,0
3.52,200.60749,9.99741,22.46341,2.66636,1.05855,0,0,0
3.53,201.25594,9.88161,21.7739,2.56666,1.00811,0,0,0
3.54,201.90562,9.76571,21.0822,2.46665,0.9575,0,0,0
3.55,202.55652,9.64969,20.38832,2.36633,0.90674,0,0,0
3.56,203.20865,9.53357,19.69225,2.26569,0.85582,0,0,0
3.57,203.86201,9.41733,18.99398,2.16474,0.80475,0,0,0
3.58,204.51659,9.30099,18.29352,2.06347,0.75351,0,0,0
3.59,205.17241,9.18454,17.59085,1.96189,0.70212,0,0,0
3.6,205.82946,9.06797,16.88598,1.85999,0.65057,0,0,0
3.61,206.48773,8.9513,16.1789,1.75777,0.59885,0,0,0
3.62,207.14725,8.83452,15.4696,1.65523,0.54698,0,0,0
3.63,207.80799,8.71763,14.75808,1.55238,0.49495,0,0,0
3.64,208.46998,8.60063,14.04433,1.44921,0.44276,0,0,0
3.65,209.13319,8.48352,13.32836,1.34572,0.39041,0,0,0
3.66,209.79765,8.36631,12.61016,1.2419,0.3379,0,0,0
3.67,210.46334,8.24898,11.88971,1.13777,0.28523,0,0,0
3.68,211.13028,8.13154,11.16703,1.03332,0.23239,0,0,0
3.69,211.79845,8.01399,10.4421,0.92854,0.1794,0,0,0
3.7,212.46787,7.89634,9.71492,0.82344,0.12624,0,0,0
3.71,194.6905,7.77857,8.98548,0.71802,0.07292,0,0,0
3.72,195.29023,7.6607,8.25379,0.61228,0,0,0,0
3.73,195.89102,7.5458,7.53905,0.50898,0,0,0,0
3.74,196.4929,7.4308,6.82216,0.40538,0,0,0,0
3.75,197.09585,7.3157,6.10312,0.30148,0,0,0,0
3.76,197.69988,7.20049,5.38193,0.19726,0,0,0,0
3.77,162.6752,7.08518,4.65858,0.09273,0,0,0,0
3.78,163.14829,6.96977,3.93307,0,0,0,0,0
3.79,163.62216,6.86067,3.24586,0,0,0,0,0
3.8,164.09682,6.75149,2.55673,0,0,0,0,0
3.81,164.57227,6.64221,1.86567,0,0,0,0,0
3.82,165.0485,6.53284,1.17267,0,0,0,0,0
3.83,0,6.42338,0.47774,0,0,0,0,0
