10.000000	89.999000	-0.000000	-0.000000	0.000000	-0.029995
11.116624	89.998959	1.116625	-0.000000	-0.000000	-0.029981
14.821419	89.998794	4.821419	-0.000001	-0.000001	-0.029961
20.276636	89.998409	10.276637	-0.000003	-0.000001	-0.029937
25.374170	89.997705	15.374171	-0.000006	-0.000003	-0.029909
28.461986	89.996610	18.461988	-0.000012	-0.000006	-0.029882
29.765951	89.995062	19.765953	-0.000019	-0.000009	-0.029857
30.189230	89.992984	20.189233	-0.000029	-0.000013	-0.029836
30.205537	89.990296	20.205541	-0.000043	-0.000018	-0.029822
30.046070	89.986916	20.046075	-0.000059	-0.000024	-0.029815
29.224014	89.982865	19.224020	-0.000080	-0.000030	-0.029820
27.704362	89.978191	17.704369	-0.000104	-0.000035	-0.029836
25.953094	89.972874	15.953101	-0.000132	-0.000039	-0.029864
24.184449	89.966895	14.184457	-0.000163	-0.000043	-0.029904
22.494420	89.960240	12.494429	-0.000198	-0.000045	-0.029956
20.955241	89.952887	10.955250	-0.000237	-0.000047	-0.030019
19.593068	89.944819	9.593077	-0.000280	-0.000048	-0.030095
18.386095	89.936034	8.386104	-0.000326	-0.000049	-0.030182
17.313660	89.926529	7.313669	-0.000377	-0.000049	-0.030281
16.357338	89.916303	6.357347	-0.000431	-0.000048	-0.030392
15.490355	89.905360	5.490364	-0.000488	-0.000047	-0.030514
14.692873	89.893703	4.692882	-0.000550	-0.000045	-0.030649
13.958710	89.881330	3.958718	-0.000615	-0.000043	-0.030795
13.281914	89.868240	3.281921	-0.000683	-0.000039	-0.030953
12.656953	89.854432	2.656959	-0.000756	-0.000035	-0.031122
12.083731	89.839901	2.083736	-0.000832	-0.000030	-0.031304
11.560961	89.824646	1.560965	-0.000912	-0.000025	-0.031497
11.082490	89.808664	1.082492	-0.000995	-0.000018	-0.031702
10.643089	89.791958	0.643089	-0.001082	-0.000012	-0.031919
10.238296	89.774526	0.238294	-0.001173	-0.000004	-0.032148
9.862566	89.756371	-0.137438	-0.001268	0.000004	-0.032388
