-15,NaN,NaN
-14.9,NaN,NaN
-14.8,NaN,NaN
-14.7,NaN,NaN
-14.6,NaN,NaN
-14.5,NaN,NaN
-14.4,NaN,NaN
-14.3,NaN,NaN
-14.2,NaN,NaN
-14.1,NaN,NaN
-14,NaN,NaN
-13.9,NaN,NaN
-13.8,NaN,NaN
-13.7,NaN,NaN
-13.6,NaN,NaN
-13.5,NaN,NaN
-13.4,NaN,NaN
-13.3,NaN,NaN
-13.2,NaN,NaN
-13.1,NaN,NaN
-13,NaN,0.138
-12.9,NaN,0.13523
-12.8,NaN,0.13247
-12.7,NaN,0.1297
-12.6,NaN,0.12693
-12.5,NaN,0.12417
-12.4,NaN,0.1214
-12.3,NaN,0.11863
-12.2,NaN,0.11587
-12.1,NaN,0.1131
-12,NaN,0.11033
-11.9,NaN,0.10757
-11.8,NaN,0.1048
-11.7,NaN,0.10203
-11.6,NaN,0.099267
-11.5,NaN,0.0965
-11.4,NaN,0.093733
-11.3,NaN,0.090967
-11.2,NaN,0.0882
-11.1,NaN,0.085433
-11,NaN,0.082667
-10.9,NaN,0.0799
-10.8,NaN,0.077133
-10.7,NaN,0.074367
-10.6,NaN,0.0716
-10.5,NaN,0.068833
-10.4,NaN,0.066067
-10.3,NaN,0.0633
-10.2,NaN,0.060533
-10.1,NaN,0.057767
-10,-0.85,0.055
-9.9,-0.8515,0.053925
-9.8,-0.853,0.05285
-9.7,-0.8545,0.051775
-9.6,-0.856,0.0507
-9.5,-0.8575,0.049625
-9.4,-0.859,0.04855
-9.3,-0.8605,0.047475
-9.2,-0.862,0.0464
-9.1,-0.8635,0.045325
-9,-0.865,0.04425
-8.9,-0.8665,0.043175
-8.8,-0.868,0.0421
-8.7,-0.8695,0.041025
-8.6,-0.871,0.03995
-8.5,-0.8725,0.038875
-8.4,-0.874,0.0378
-8.3,-0.8755,0.036725
-8.2,-0.877,0.03565
-8.1,-0.8785,0.034575
-8,-0.88,0.0335
-7.9,-0.871,0.032425
-7.8,-0.862,0.03135
-7.7,-0.853,0.030275
-7.6,-0.844,0.0292
-7.5,-0.835,0.028125
-7.4,-0.826,0.02705
-7.3,-0.817,0.025975
-7.2,-0.808,0.0249
-7.1,-0.799,0.023825
-7,-0.79,0.02275
-6.9,-0.781,0.021675
-6.8,-0.772,0.0206
-6.7,-0.763,0.019525
-6.6,-0.754,0.01845
-6.5,-0.745,0.017375
-6.4,-0.736,0.0163
-6.3,-0.727,0.015225
-6.2,-0.718,0.01415
-6.1,-0.709,0.013075
-6,-0.7,0.012
-5.9,-0.69,0.01205
-5.8,-0.68,0.0121
-5.7,-0.67,0.01215
-5.6,-0.66,0.0122
-5.5,-0.65,0.01225
-5.4,-0.64,0.0123
-5.3,-0.63,0.01235
-5.2,-0.62,0.0124
-5.1,-0.61,0.01245
-5,-0.6,0.0125
-4.9,-0.59,0.01255
-4.8,-0.58,0.0126
-4.7,-0.57,0.01265
-4.6,-0.56,0.0127
-4.5,-0.55,0.01275
-4.4,-0.54,0.0128
-4.3,-0.53,0.01285
-4.2,-0.52,0.0129
-4.1,-0.51,0.01295
-4,-0.5,0.013
-3.9,-0.4875,0.013425
-3.8,-0.475,0.01385
-3.7,-0.4625,0.014275
-3.6,-0.45,0.0147
-3.5,-0.4375,0.015125
-3.4,-0.425,0.01555
-3.3,-0.4125,0.015975
-3.2,-0.4,0.0164
-3.1,-0.3875,0.016825
-3,-0.375,0.01725
-2.9,-0.3625,0.017675
-2.8,-0.35,0.0181
-2.7,-0.3375,0.018525
-2.6,-0.325,0.01895
-2.5,-0.3125,0.019375
-2.4,-0.3,0.0198
-2.3,-0.2875,0.020225
-2.2,-0.275,0.02065
-2.1,-0.2625,0.021075
-2,-0.25,0.0215
-1.9,-0.235,0.021525
-1.8,-0.22,0.02155
-1.7,-0.205,0.021575
-1.6,-0.19,0.0216
-1.5,-0.175,0.021625
-1.4,-0.16,0.02165
-1.3,-0.145,0.021675
-1.2,-0.13,0.0217
-1.1,-0.115,0.021725
-1,-0.1,0.02175
-0.9,-0.09,0.021775
-0.8,-0.08,0.0218
-0.7,-0.07,0.021825
-0.6,-0.06,0.02185
-0.5,-0.05,0.021875
-0.4,-0.04,0.0219
-0.3,-0.03,0.021925
-0.2,-0.02,0.02195
-0.1,-0.01,0.021975
0,0,0.022
0.1,0.01,0.021975
0.2,0.02,0.02195
0.3,0.03,0.021925
0.4,0.04,0.0219
0.5,0.05,0.021875
0.6,0.06,0.02185
0.7,0.07,0.021825
0.8,0.08,0.0218
0.9,0.09,0.021775
1,0.1,0.02175
1.1,0.115,0.021725
1.2,0.13,0.0217
1.3,0.145,0.021675
1.4,0.16,0.02165
1.5,0.175,0.021625
1.6,0.19,0.0216
1.7,0.205,0.021575
1.8,0.22,0.02155
1.9,0.235,0.021525
2,0.25,0.0215
2.1,0.2625,0.021075
2.2,0.275,0.02065
2.3,0.2875,0.020225
2.4,0.3,0.0198
2.5,0.3125,0.019375
2.6,0.325,0.01895
2.7,0.3375,0.018525
2.8,0.35,0.0181
2.9,0.3625,0.017675
3,0.375,0.01725
3.1,0.3875,0.016825
3.2,0.4,0.0164
3.3,0.4125,0.015975
3.4,0.425,0.01555
3.5,0.4375,0.015125
3.6,0.45,0.0147
3.7,0.4625,0.014275
3.8,0.475,0.01385
3.9,0.4875,0.013425
4,0.5,0.013
4.1,0.51,0.01295
4.2,0.52,0.0129
4.3,0.53,0.01285
4.4,0.54,0.0128
4.5,0.55,0.01275
4.6,0.56,0.0127
4.7,0.57,0.01265
4.8,0.58,0.0126
4.9,0.59,0.01255
5,0.6,0.0125
5.1,0.61,0.01245
5.2,0.62,0.0124
5.3,0.63,0.01235
5.4,0.64,0.0123
5.5,0.65,0.01225
5.6,0.66,0.0122
5.7,0.67,0.01215
5.8,0.68,0.0121
5.9,0.69,0.01205
6,0.7,0.012
6.1,0.706,0.01315
6.2,0.712,0.0143
6.3,0.718,0.01545
6.4,0.724,0.0166
6.5,0.73,0.01775
6.6,0.736,0.0189
6.7,0.742,0.02005
6.8,0.748,0.0212
6.9,0.754,0.02235
7,0.76,0.0235
7.1,0.766,0.02465
7.2,0.772,0.0258
7.3,0.778,0.02695
7.4,0.784,0.0281
7.5,0.79,0.02925
7.6,0.796,0.0304
7.7,0.802,0.03155
7.8,0.808,0.0327
7.9,0.814,0.03385
8,0.82,0.035
8.1,0.829,0.036
8.2,0.838,0.037
8.3,0.847,0.038
8.4,0.856,0.039
8.5,0.865,0.04
8.6,0.874,0.041
8.7,0.883,0.042
8.8,0.892,0.043
8.9,0.901,0.044
9,0.91,0.045
9.1,0.919,0.046
9.2,0.928,0.047
9.3,0.937,0.048
9.4,0.946,0.049
9.5,0.955,0.05
9.6,0.964,0.051
9.7,0.973,0.052
9.8,0.982,0.053
9.9,0.991,0.054
10,1,0.055
10.1,0.98,0.0605
10.2,0.96,0.066
10.3,0.94,0.0715
10.4,0.92,0.077
10.5,0.9,0.0825
10.6,0.88,0.088
10.7,0.86,0.0935
10.8,0.84,0.099
10.9,0.82,0.1045
11,0.8,0.11
11.1,NaN,NaN
11.2,NaN,NaN
11.3,NaN,NaN
11.4,NaN,NaN
11.5,NaN,NaN
11.6,NaN,NaN
11.7,NaN,NaN
11.8,NaN,NaN
11.9,NaN,NaN
12,NaN,NaN
12.1,NaN,NaN
12.2,NaN,NaN
12.3,NaN,NaN
12.4,NaN,NaN
12.5,NaN,NaN
12.6,NaN,NaN
12.7,NaN,NaN
12.8,NaN,NaN
12.9,NaN,NaN
13,NaN,NaN
13.1,NaN,NaN
13.2,NaN,NaN
13.3,NaN,NaN
13.4,NaN,NaN
13.5,NaN,NaN
13.6,NaN,NaN
13.7,NaN,NaN
13.8,NaN,NaN
13.9,NaN,NaN
14,NaN,NaN
14.1,NaN,NaN
14.2,NaN,NaN
14.3,NaN,NaN
14.4,NaN,NaN
14.5,NaN,NaN
14.6,NaN,NaN
14.7,NaN,NaN
14.8,NaN,NaN
14.9,NaN,NaN
15,NaN,NaN
